Name,Designator,Footprint,Quantity,Manufacturer Part,Supplier,Supplier Part
HDR-F-2.54_1x4,H2,HDR-F-2.54_1X4,1,,LCSC,C2718488
BBB Headers,U8,BBB HEADERS,2,X6521WV-2x23H-C30D60,LCSC,C725895
DW254W-11-06-85,U12,CONN-TH_6P-P2.54_DEALON_DW254W-11-06-85,1,DW254W-11-06-85,LCSC,C2935996
TS665CJ,"SW1,SW2,SW3,SW4,SW5",SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,5,TS665CJ,LCSC,C393938
MT5224IWA3DY1027,"RJ3,RJ4,RJ5",RJ45-TH_MINTRON_MT5224IWA3DY1027,3,MT5224IWA3DY1027,LCSC,C2843197
KF2EDGV-3.81-2P,"CN2,CN3,CN4,CN5,CN6,CN7,CN8,CN9,CN10,CN11,CN12,CN13,CN14,CN15,CN16,CN1",CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,16,KF2EDGV-3.81-2P,LCSC,C441332
SS-3235D-02-L3,SW6,SW-TH_SS-3235D-02-L3,1,SS-3235D-02-L3,LCSC,C500054
WJ128V-4P-5.0-14-00A,CN17,CONN-TH_4P-P5.00_WJ128V-4P-5.0-14-00A,1,WJ128V-5.0-4P,LCSC,C192769
JK16-500_C369117,F1,FUSE-TH_L11.5-W3.8-P5.08-D1.0-S3.8,1,JK16-500,LCSC,C369117
XHB-4A(White)/4needle,P2,CONN-TH_4P_XHB-4A,1,XHB-4A,LCSC,C61277
24LC256-I/P,U3,PDIP-8_L9.3-W6.4-P2.54-LS7.6-BL,1,24LC256-I/P,LCSC,C411624
HDR-F-2.54_1x6,H1,HDR-F-2.54_1X6,1,,LCSC,C40877
DBT50P-9.5-2P-GN,U4,CONN-TH_2P-P9.50_L16.0-W19.0-EX4.0,1,DBT50P-9.5-2P-GN-P,LCSC,C496129
HDR-IDC-2.54-2X12P,P1,IDC-TH_24P-P2.54-V-R2-C12-S2.54,1,2.54-2*12P直简牛,LCSC,C9137
DIP 8 for U3,U3,,1,DS1009-08AT1NX-0A2,LCSC,C72124
KF2EDGK-3.81-2P,"CN2,CN3,CN4,CN5,CN6,CN7,CN8,CN9,CN10,CN11,CN12,CN13,CN14,CN15,CN16,CN1",,16,KF2EDGK-3.81-2P,LCSC,C440858